zcta,noise_mean_db,noise_max_db,noise_min_db,median_household_income,unemployment_rate,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,affluence,disadvantage,median_family_income,home_value,poverty_rate
90064,59.28621550792329,86.8921581377037,45.02150717969441,135383.0,66.7,25956.0,0.5681923031807,0.0217676069587,0.1439744234085,0.2681846320629,0.0478626713157,0.67822265625,0.0804753229022,187717.0,1875786.3157424545,4.6
90065,57.32629650393311,79.55591242159647,45.06562032307556,94784.0,62.1,44897.0,0.2766331732273,0.0163039844483,0.5181638002396,0.3466378748417,0.0720172375441,0.4164189696312,0.1480578333139,93957.0,1115368.4801663847,10.4
90066,56.33140422749712,78.18631508447115,45.029550104592815,114141.0,66.8,54142.0,0.4874404370785,0.046137932688,0.2552916407585,0.2638801634312,0.0526075437665,0.562444627285,0.0750938281417,126667.0,1740801.303636219,4.5
90067,55.0166796875,73.52568054199219,45.00510787963867,195433.0,55.9,2653.0,0.6879004836082,0.0229928381741,0.0625706762075,0.3595929145813,0.0613893382251,0.6352344751358,0.0694585442543,152931.0,1601314.7632482678,4.5
90068,57.42179458503121,80.87133720783085,45.08586978403313,101630.0,67.6,21064.0,0.7135871648788,0.063568174839,0.1196828708053,0.1900398731232,0.0763874650002,0.6540304422379,0.074775993824,169006.0,1659929.8870592883,4.5
90069,56.28789392917981,75.90315381528856,45.10232281475406,107987.0,67.8,20045.0,0.7718632817268,0.0259915199131,0.0780743360519,0.2278872579336,0.0785336717963,0.6765617132187,0.1188596338034,149706.0,1260111.418701473,10.6
90070,56.949992961711715,74.89395904541016,45.039268493652344,,,,,,,,,,,,,
90071,57.83747620141807,88.33146667480469,45.164031982421875,,13.7,,,,,,,,,,,
90072,54.55339167668269,75.14945983886719,45.044708251953125,,,,,,,,,,,,,
90075,56.949992961711715,74.89395904541016,45.039268493652344,,,,,,,,,,,,,
90076,56.94999296171172,74.89395904541016,45.039268493652344,,,,,,,,,,,,,
90077,55.54539872155854,74.42048232525026,45.029044959675986,206319.0,57.5,7868.0,0.782409787178,0.0228774789721,0.0593543462455,0.2615658342838,0.082487642765,0.7517603635788,0.0517325140536,250001.0,3107221.896957423,4.9
90079,60.03803267045455,87.74371337890625,45.00510787963867,,,,,,,,,,,,,
90082,60.551440135542165,89.14078521728516,45.083953857421875,,,,,,,,,,,,,
90083,59.49783535513362,87.71440124511719,45.0064811706543,,,,,,,,,,,,,
90086,60.01903572899505,86.2469482421875,45.06910705566406,,,,,,,,,,,,,
90087,56.425786430702914,75.29173278808594,45.00922393798828,,,,,,,,,,,,,
90089,58.99513405710173,89.80594635009766,45.010589599609375,,29.7,,,,,,,,,,,
90091,57.58808118882224,87.85330200195312,45.010589599609375,,,,,,,,,,,,,
90095,55.885089405080215,72.82622528076172,45.00099182128906,,,,,,,,,,,,,
90201,55.152200046846175,74.51383573492807,45.05727223715258,60927.0,56.3,95134.0,0.0353816710413,0.0151260327548,0.9386444091797,0.4189879596233,0.0687668099999,0.1014060825109,0.273336827755,53901.0,692520.4727701754,19.7
90202,52.50388911732456,68.4720230102539,45.286598205566406,,,,,,,,,,,,,
90209,57.897702395260985,73.87211608886719,45.02700424194336,,,,,,,,,,,,,
90210,54.923320913282424,71.926581376803,45.03530448563896,187801.0,50.9,19180.0,0.8135557770729,0.0166840460151,0.0596976019442,0.3415536880493,0.0427912324667,0.6997586488724,0.0762532353401,247153.0,5242255.079812688,7.2
90211,55.581011419446746,74.31348843521424,45.023440119351,122694.0,60.2,9208.0,0.6434621810913,0.0216116420925,0.0830799341202,0.4121416211128,0.0907216519117,0.6064605712891,0.1101825758815,153262.0,2234114.440343088,6.2
90212,55.24260224525618,73.22766616203883,45.10674442402201,118019.0,60.1,10881.0,0.7011303901672,0.0172778237611,0.0837239250541,0.353460162878,0.1110581532121,0.6661322116852,0.103504396975,170142.0,2451533.5068589374,3.7
90213,57.897702395260985,73.87211608886719,45.02700424194336,,,,,,,,,,,,,
90220,56.753281849964054,76.95410886926629,45.025145928380866,82335.0,60.8,49101.0,0.0163744110614,0.2828862965107,0.6602309346199,0.2738640904427,0.0792934149504,0.1779383718967,0.2318669706583,73951.0,640525.1458700047,14.2
