zcta,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,poverty_rate,affluence,disadvantage,median_family_income
42349,1933,1.0,0.0,0.0,0.0,0.0133333336562,0.1317991614342,0.0974587649107,0.1938915103674,46583.0
42350,1269,0.9408983588219,0.0023640661966,0.0102442866191,0.0086682429537,0.067889906466,0.0724980309606,0.2316554039717,0.1448725759983,79861.0
42351,4639,0.9236904382706,0.0185384787619,0.0284544080496,0.0086225476116,0.0491071417928,0.1609092950821,0.2228229790926,0.1787560582161,90750.0
42352,1652,0.9570217728615,0.0,0.0048426152207,0.0006053269026,0.0597738288343,0.1610169559717,0.1872799098492,0.1809665411711,75515.0
42354,205,0.9756097793579,0.0,0.0146341463551,0.0097560975701,0.0186915881932,0.0536585375667,0.1941137611866,0.0780995935202,76875.0
42355,1479,0.9580797553062,0.0,0.0263691674918,0.0,0.0380517505109,0.103448279202,0.2172439396381,0.137741714716,85691.0
42361,696,1.0,0.0,0.0,0.0,0.0,0.2227011471987,0.1865459829569,0.1995185613632,49219.0
42366,5190,0.9820809364319,0.0063583813608,0.003468208015,0.0021194606088,0.0639702826738,0.0348095148802,0.3044228553772,0.049018714577,90573.0
42367,886,0.9920993447304,0.0,0.005643340759,0.0,0.0867924541235,0.1399548500776,0.1151326745749,0.163414478302,54444.0
42368,1223,0.9550285935402,0.0049059689045,0.0,0.0,0.0301291253418,0.1226492226124,0.2307057231665,0.1371643990278,83533.0
42369,246,0.9959349632263,0.0,0.0,0.0,0.1549295783043,0.1747967451811,0.0761757344007,0.2129257917404,45625.0
42371,331,1.0,0.0,0.0,0.0,0.1576576530933,0.0513595156372,0.3970762193203,0.0544332712889,139375.0
42372,1535,0.9517915248871,0.0149837136269,0.0,0.0006514657871,0.1750663071871,0.1570032536983,0.1718554794788,0.1582513302565,76964.0
42374,109,1.0,0.0,0.0,0.0,0.0,0.2293577939272,0.0196078438312,0.3515848815441,38438.0
42376,6520,0.9372699260712,0.0104294475168,0.0237730052322,0.0133435586467,0.0394307747483,0.1236128211021,0.2805339992046,0.1182667613029,87146.0
42378,3490,0.981375336647,0.0022922635544,0.0068767908961,0.0005730658886,0.0652709379792,0.0443293042481,0.3133088350296,0.0844126418233,106058.0
42404,2342,0.9585824012756,0.0029888984282,0.0251921433955,0.0068317675032,0.0612460412085,0.1812339276075,0.1883631944656,0.2185033857822,66667.0
42406,2419,0.8520049452782,0.0545680038631,0.0,0.007854484953,0.0383304953575,0.1434494256973,0.2430021613836,0.1563332974911,77976.0
42408,6307,0.9671792984009,0.0058664977551,0.0122086573392,0.0006342159468,0.0688242539763,0.1512100100517,0.151289910078,0.1734042018652,64792.0
42409,2397,0.9361702203751,0.0400500632823,0.0079265749082,0.0229453481734,0.0926784053445,0.1668971925974,0.2249612063169,0.1846167445183,77981.0
