zcta,noise_mean_db,noise_max_db,noise_min_db
91321,59.08469387510576,84.64892218028004,45.05286518943551
91322,59.00472631987578,88.44041442871094,45.1014289855957
91324,54.01123968202082,71.5701821399246,45.083797417293525
91325,54.291925109604925,72.03333876985477,45.05500327265569
91326,58.39815182705196,82.47649298146412,45.04753118539273
91327,57.0194493006993,86.86100006103516,45.00785446166992
91329,58.8475788620283,78.36577606201172,45.00510787963867
91330,53.030978442513366,74.02261352539062,45.10276794433594
91331,56.93597168336982,78.92614065303997,45.05023875501805
91333,57.50176022376543,74.3344955444336,45.04606628417969
91335,53.0327843957665,69.71146102433303,45.10062282312875
91340,56.82043147261932,78.78125279895266,45.0353404740143
91341,58.197346424750364,74.43419647216797,45.067752838134766
91342,57.75861569598547,80.96909165927678,45.042443811505
91343,58.02457485769706,81.38996890967212,45.04690386185883
91344,58.33271546777788,85.56225492951371,45.038342816874135
91345,59.163756043346815,88.90297227784679,45.02491651192052
91346,60.57735640371926,90.53462982177734,45.00236511230469
91350,56.42708757806911,72.1077457013679,45.11272314486137
91351,56.23083001249851,73.68862040895276,45.03636709185746
91352,57.50995191145819,83.07154930802434,45.04702993738261
91353,59.08970491720517,87.2550277709961,45.024269104003906
91354,54.04090359124045,66.13734155820073,45.50440090749204
91355,56.228425952189504,79.11085433003808,45.02030830901341
91356,56.149441416961075,78.632002240996,45.031784033677226
91357,56.99235795454546,85.15343475341797,45.011962890625
91358,58.66029988789238,87.22798156738281,45.00510787963867
91359,56.395978117956425,85.83312225341797,45.00099182128906
91360,56.60924298502883,77.76397085356659,45.01738844196396
91361,55.93932474454691,81.11823197888988,45.02292083535199
91362,58.284208549518794,82.61776915633642,45.036518173152864
91364,55.976156810086415,79.53021392949009,45.018225450971116
91365,55.50968613735465,77.45621490478516,45.067752838134766
91367,55.592307889928634,77.06723313510713,45.04618003026696
91371,52.99626201923077,71.81271362304688,45.07316207885742
91372,59.982987787890046,86.34678649902345,45.00099182128906
91377,52.84438025831255,68.44578310486787,45.063362083173665
91380,57.10219973491028,75.45182800292969,45.00922393798828
91381,56.478116590808,76.26447871469028,45.0064815975888
91383,59.63049434007707,86.64923858642578,45.00236511230469
91384,57.390709855222624,81.14125403302617,45.18201142475496
91385,58.73149394347241,85.37189483642578,45.020172119140625
91387,58.361502282119154,82.15386606490658,45.01783489797441
91390,53.24206542879242,65.16841226374528,45.24241039508974
91392,59.67010821554771,84.57427978515625,45.110809326171875
91393,57.2250480447861,77.04493713378906,45.04606628417969
91394,53.841769366197184,74.88832092285156,45.140159606933594
91395,59.33416717980296,90.53462982177734,45.01470184326172
91396,52.068851794226696,63.738311767578125,45.07316207885742
91401,54.11226632745911,70.17284815078324,45.10570758653636
91402,55.487294162585364,73.7778058681023,45.103297092500334
91403,57.924352339790396,84.84929910703988,45.02383387930876
91404,55.115529895463474,76.97457101279817,45.13123479707586
91405,54.71442074376218,70.94388158229835,45.05585695823218
91406,56.2360896951939,78.32610757007383,45.04979089086299
91407,55.10116732106219,77.00644330632694,45.134108167024976
91408,55.10730944692396,76.9928131845335,45.132879376184164
91409,58.35224164418465,87.72248077392578,45.00099182128906
91411,56.993299224179104,79.90455823334696,45.07782529607727
91412,57.766259765625,78.46275329589844,45.02700424194336
91413,61.852745286312846,88.17829895019531,45.02700424194336
91416,59.952150574398246,88.4041976928711,45.01333236694336
91423,56.45950799584134,79.57825496448443,45.04402807828273
91426,55.92999183661778,85.08395385742188,45.00099182128906
91436,57.5939369179511,86.57455461677422,45.00995144827479
91470,57.77739726027397,85.81722259521484,45.03382110595703
91482,57.77739726027397,85.81722259521484,45.03382110595703
91495,61.852745286312846,88.17829895019531,45.02700424194336
91496,61.852745286312846,88.17829895019531,45.02700424194336
91501,53.12546102231203,69.48919904841529,45.031226468976854
91502,57.10999584787198,87.54338349739496,45.033681267283335
91504,55.87281193603216,76.93162861371837,45.02002018875214
91505,55.10564595451767,73.5585963653675,45.03166825038019
91506,54.74144795147872,80.69858491790792,45.01336942469558
91507,56.56291537047512,74.6834716796875,45.00785446166992
91508,62.91626103322949,86.61812591552734,45.02973175048828
91510,56.56291537047511,74.6834716796875,45.00785446166992
91521,54.278253007152145,86.51762390136719,45.0064811706543
91601,57.035988445670604,77.56397675395452,45.07322669889017
91602,59.4513115087223,87.96323454825972,45.05180012365289
91604,54.832300587349515,74.20487090273708,45.015615102451044
91605,55.41302317853774,75.26135143827092,45.05640407791275
91606,55.01991042704989,71.26356479660336,45.118287571217536
91607,55.521839649281134,75.7825997237654,45.09003339192289
91608,59.205504771352985,88.02363586425781,45.02290725708008
91609,58.315976150075414,87.01567840576172,45.00099182128906
91611,58.315976150075414,87.01567840576172,45.00099182128906
91612,58.315976150075414,87.01567840576172,45.00099182128906
91615,59.128931370578776,86.67359161376953,45.00099182128906
91617,53.587803171641795,72.6102523803711,45.108131408691406
91701,56.221182714699154,80.06623415223652,45.01998895541206
91702,57.75927919356436,81.70982654206699,45.04043099123954
91706,53.83352389022485,72.62746047397131,45.08132090605716
91708,57.98615481558202,86.54970640358717,45.01208492280926
91709,56.836153833990316,79.83151632190916,45.02949238583414
91710,55.573923785965654,78.32494987483383,45.01892215669794
91711,55.32401100159738,79.8359086802057,45.012745734000326
91722,55.2945233803239,76.5207446766372,45.030741432147316
91723,54.97575631606679,74.2821912407632,45.01384536278209
91724,54.94980000404012,75.84698300731363,45.028030508985616
91730,54.79430189444554,75.55266220952109,45.048570642326396
91731,56.62610390091579,79.49128988876929,45.08177650564375
91732,56.47442098590867,77.8623427794964,45.0550719355453
91733,56.488010646646316,80.18964503024061,45.05231667569314
91734,58.04511046753607,87.41703033447266,45.04878616333008
91737,55.69756339382211,81.9277888093667,45.03067726082926
91739,58.517831278121186,88.79247333374737,45.00568410793563
