zip_code,zcta
72661,72661.0
72668,72668.0
72672,72672.0
72677,72677.0
72687,72687.0
71834,71834.0
71837,71837.0
71840,71854.0
71854,71854.0
72310,72315.0
72313,72350.0
72315,72315.0
72316,72315.0
72319,72315.0
72321,72321.0
72329,72329.0
72330,72330.0
72338,72338.0
72350,72350.0
72351,72351.0
72358,72358.0
72370,72370.0
72391,72370.0
72395,72395.0
72426,72426.0
72428,72428.0
72438,72438.0
72442,72442.0
72021,72021.0
72029,72029.0
72069,72069.0
72108,72108.0
72134,72134.0
71935,71935.0
71957,71957.0
71960,71960.0
71961,71961.0
71965,71965.0
71966,71961.0
71969,71969.0
71970,71970.0
71722,71722.0
71828,71857.0
71835,71835.0
71857,71857.0
71858,71858.0
71864,71857.0
72624,72624.0
72628,72628.0
72640,72640.0
72641,72641.0
72648,72648.0
72655,72655.0
72666,72666.0
72670,72670.0
72683,72683.0
72685,72685.0
71701,71701.0
71711,71711.0
71720,71720.0
71726,71726.0
71751,71751.0
71764,71764.0
72001,72001.0
72016,72016.0
72025,72025.0
72070,72070.0
72125,72125.0
72126,72126.0
72312,72374.0
72328,72328.0
72333,72333.0
72342,72342.0
72353,72353.0
72355,72355.0
72366,72366.0
72367,72367.0
72369,72355.0
72374,72374.0
72383,72383.0
72389,72389.0
72390,72390.0
71922,71922.0
71940,71940.0
71943,71943.0
71950,71950.0
71952,71952.0
71958,71958.0
71959,71959.0
72354,72354.0
72365,72365.0
72377,72377.0
72386,72386.0
72429,72429.0
72432,72432.0
72472,72472.0
72475,72429.0
72479,72479.0
71932,71953.0
71937,71937.0
71944,71944.0
71945,71945.0
71953,71953.0
71972,71972.0
71973,71973.0
72679,72679.0
72801,72801.0
72802,72802.0
72811,72801.0
72812,72837.0
72823,72823.0
72837,72837.0
72843,72843.0
72847,72847.0
72856,72856.0
72858,72858.0
72017,72017.0
72040,72040.0
72041,72041.0
72064,72064.0
72066,72176.0
72170,72170.0
72002,72002.0
72053,72206.0
72065,72065.0
72076,72076.0
72078,72076.0
72099,72099.0
72103,72103.0
72113,72113.0
72114,72114.0
72115,72114.0
72116,72116.0
72117,72117.0
72118,72118.0
72119,72119.0
72120,72120.0
72124,72211.0
72135,72135.0
72142,72142.0
72164,72206.0
72180,72206.0
72183,72206.0
72190,72211.0
72199,72119.0
72201,72201.0
72202,72202.0
72203,72113.0
72204,72204.0
72205,72205.0
72206,72206.0
72207,72207.0
72209,72209.0
72210,72210.0
72211,72211.0
72212,72212.0
72214,72114.0
72215,72211.0
72216,72116.0
72217,72117.0
72219,72211.0
72221,72211.0
72222,72211.0
72223,72223.0
72225,72211.0
72227,72227.0
72231,72117.0
72255,72201.0
72295,72211.0
72413,72413.0
72444,72444.0
72449,72449.0
72455,72455.0
72460,72460.0
72462,72462.0
72478,72478.0
72322,72322.0
72326,72326.0
72335,72335.0
72336,72335.0
72340,72340.0
72346,72346.0
72348,72348.0
72359,72359.0
72372,72372.0
72392,72392.0
72394,72394.0
72011,72011.0
72015,72015.0
72018,72015.0
72022,72022.0
72089,72022.0
72122,72122.0
72158,72019.0
72167,72167.0
72841,72841.0
72926,72926.0
72944,72944.0
72950,72950.0
72958,72958.0
72636,72636.0
72639,72639.0
72645,72645.0
72650,72650.0
72669,72669.0
72675,72675.0
72686,72686.0
72901,72901.0
72902,72901.0
72903,72903.0
72904,72904.0
72905,72903.0
72906,72903.0
72908,72908.0
72913,72903.0
72914,72903.0
72916,72916.0
72917,72903.0
72918,72903.0
72919,72903.0
72923,72923.0
72936,72936.0
72937,72937.0
72938,72938.0
72940,72940.0
72941,72941.0
72945,72945.0
71823,71823.0
71832,71832.0
71841,71841.0
71842,71842.0
71846,71846.0
72482,72482.0
72513,72513.0
72521,72521.0
72525,72529.0
72529,72529.0
72532,72532.0
72542,72542.0
72569,72569.0
72577,72577.0
72051,72051.0
72533,72533.0
72555,72555.0
72560,72560.0
72567,72567.0
72657,72560.0
72663,72663.0
72680,72680.0
71724,71724.0
71730,71730.0
71731,71730.0
71747,71747.0
71749,71749.0
71750,71730.0
71758,71758.0
71759,71759.0
71762,71762.0
71765,71765.0
72013,72013.0
72028,72031.0
72031,72031.0
72088,72088.0
72141,72141.0
72153,72153.0
72629,72629.0
72701,72701.0
72702,72701.0
72703,72703.0
72704,72704.0
72717,72717.0
72727,72727.0
72728,72762.0
72729,72729.0
72730,72730.0
72735,72727.0
72737,72701.0
72741,72704.0
72744,72744.0
72749,72749.0
